130,51,55,30,136,13802468
107,52,40,49,141,9441428
117,38,50,35,123,8971088
121,47,40,27,114,8546049
101,7,29,34,70,7458455
131,8,31,43,82,6349733
102,5,20,32,57,4890550
105,4,20,41,65,3914240
109,5,15,29,49,3438737
119,6,15,33,54,3395809
103,3,15,29,47,3280821
112,6,10,41,57,3118256
108,14,20,35,69,3041042
129,37,15,29,81,3030137
110,8,15,28,51,2769920
123,10,10,33,53,2720817
113,5,10,45,60,2445575
104,4,15,37,56,2419930
118,5,10,24,39,2104821
115,5,10,50,65,1933754
114,4,5,38,47,1590578
116,16,10,38,64,1553385
128,4,5,40,49,1524154
125,5,5,40,50,1436116
111,5,5,34,44,1433231
126,6,5,27,38,1270750
122,5,5,37,47,1224551
120,6,5,34,45,1210600
127,20,5,27,52,644869
124,6,5,43,54,643452
106,3,0,38,41,183015
